index,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,target,target_by_group
C4_Sc,21,3,4,3,1.36,0.188,17.8,6.5615,1.59,1814,3103,2985,44.956,196,1.868484,3.659682,2.290298,2.291456,2.292322,2.293964,0.0614,2.32872,1.057873,2
C4_Ti,22,4,4,4,1.54,0.084,14.6,6.8281,1.48,1941,3560,4507,47.867,197,1.758471,3.242423,2.0987,2.098727,2.101113,2.101496,0.053793,3.029296,0.646678,2
C4_V ,23,5,4,5,1.63,0.5277,12.4,6.7462,1.44,2183,3680,6110,50.942,198,1.657997,3.020832,2.021894,2.022039,2.02232,2.022393,0.059781,2.474803,0.044558,0
C4_Cr,24,6,4,6,1.66,0.6758,11.6,6.7665,1.3,2180,2944,7140,51.996,197,1.612457,2.941664,1.994254,1.99452,1.996443,1.996671,0.063873,2.115178,0.360666,2
C4_Mn,25,7,4,7,1.55,-0.52,9.4,7.434,1.29,1519,2334,7470,54.938,198,1.568974,2.542498,1.95888,1.959021,2.003927,2.003972,0.069508,1.710041,0.49526,2
C4_Fe,26,8,4,8,1.83,0.1532,8.4,7.9024,1.24,1811,3134,7874,55.845,193,1.521668,2.233421,1.945174,1.945581,1.959281,1.959397,0.07385,1.455133,0.3637,2
C4_Co,27,9,4,9,1.88,0.6623,7.5,7.881,1.18,1768,3200,8900,58.933,194,1.713176,1.154536,1.853183,1.915776,1.927303,2.067013,0.047322,4.033058,-0.262473,2
C4_Ni,28,10,4,10,1.91,1.1572,6.8,7.6398,1.17,1728,3186,8908,58.693,195,1.761491,1.125279,1.853396,1.856927,1.938048,2.088862,0.047884,4.321466,-0.661814,2
C4_Cu,29,11,4,11,1.9,1.2358,6.2,7.7264,1.22,1357.77,3200,8920,63.546,196,1.968205,1.108112,1.89729,1.903536,1.939454,2.065209,0.025361,4.824064,-0.330046,2
C4_Zn,30,12,4,12,1.65,-0.62,5.75,9.3942,1.2,692.68,1180,7140,65.38,197,1.619725,2.803551,1.963499,1.963536,1.963875,1.963925,0.05809,2.630721,1.823323,2
C4_Y ,39,3,5,3,1.22,0.307,22.7,6.2173,1.76,1799,3618,4472,88.906,196,2.044176,3.638163,2.396085,2.397465,2.409578,2.417414,0.049511,3.408157,1.112474,2
C4_Zr,40,4,5,4,1.33,0.4333,17.9,6.6339,1.64,2128,4682,6511,91.224,197,1.914882,3.557327,2.214514,2.21453,2.21471,2.214837,0.044519,3.803673,0.677871,2
